"prop.browse","total.herb","total.sapling"
0,2.318611109,205
0,1.652380952,429
0,2.274761904,424
0,1.387857147,460
0.903225806451613,1.938888889,6
0.852409638554217,1.701666666,144
1.06752411575563,1.747857144,180
0.925157799819657,1.712619049,242
0,1.512777778,0
0,1.348095239,127
0,2.10214286,229
0,1.634761905,336
0.422101449275362,1.670277779,0
0.48757016840417,1.137857143,1
0.752530933633296,1.983333335,3
0.344357976653696,1.519761907,90
0,0.68361111,14
0,0.626666668,34
0,1.276190477,32
0,1.058333333,107
0.316537467700258,1.011666667,55
0.104748603351955,0.69547619,73
0.355072463768116,1.550476191,81
0.0232605177993528,1.048333335,130
0,1.09642857,7
0,2.30238095,40
0,1.98233539619,86
0,1.511190477,217
0.83411214953271,0.986190476,0
0.842167255594817,1.972380953,2
0.201680672268908,1.88641047184,102
0.406540169559952,1.570238097,187
0,1.483333334,88
0,2.140952379,170
0,1.5508956339,264
0,1.218333336,354
0.187214611872146,1.535238098,13
0.350877192982456,2.451666666,15
0.140776699029126,2.300535999,12
0.179330212459489,1.798333335,56
0,0.783055556,4
0,0.896666668,45
0,1.234523808,78
0,1.042857143,296
0.464285714285714,0.166944444,0
0.497835497835498,0.387380953,0
0.185555555555556,0.91904762,1
0.160535117056856,1.003095238,29
0,0.029722223,0
0,0.082380953,0
0,0.061190475,0
0,0.294523809,3
0.11046511627907,0.4025,10
0.157556270096463,0.662619048,28
0.246298788694482,1.170000002,0
0.0318208603417796,1.003809526,15
0,1.183333335,1
0,2.079523808,0
0,1.92158828559,34
0,1.40904762,121
0.574886535552194,0.60309524,5
0.411361410381978,1.102142857,5
0.163348416289593,1.259691758,8
0.0288888888888889,1.08404762,14
0,1.369285716,19
0,2.176428575,29
0,2.326987833,29
0,1.602619052,67
0.296504369538077,1.232619049,26
0.0584813227189222,1.800238097,48
0.00494641384995878,1.90335648596,74
0.0227698515636259,1.538571431,132
0,1.960833332,0
0,3.465238096,116
0,2.179999998,224
0,1.888809528,270
0.26149802890933,2.133888887,14
0.168348623853211,1.911904764,38
0.0502540937323546,2.479285718,71
0.0462323626538577,2.104047622,137
0,2.736944444,0
0,2.309761905,21
0,3.084523809,56
0,2.340000001,262
0.37888198757764,2.041666667,0
0.576190476190476,1.732619048,0
0.425133689839572,2.568095239,0
0.692342752962625,1.892619048,0
0,2.796111114,18
0,1.959285715,106
0,2.820714286,219
0,2.193095237,332
0.72318339100346,2.587222222,13
0.210710128055879,1.777380952,23
0.280983442047165,2.784523811,33
0.114714919767839,2.277142858,114
0,1.745,41
0,2.664285716,85
0,2.738640662,414
0,1.995714291,400
0.0538172715894869,1.721904762,11
0.0639800581636892,2.337619054,32
0.0622356495468278,2.69575328486,185
0.0665920537213207,2.227619045,247
0,0.591666668,5
0,1.152380952,5
0,1.299873558,10
0,1.08904762,11
0.113924050632911,0.62452381,17
0.193853427895981,1.013095237,15
0.367283950617284,1.205017698,16
0.040650406504065,1.050238095,20
0,2.075476183,8
0,2.212380952,14
0,2.957292913,61
0,2.254047621,90
0.523076923076923,0.951190477,0
0.699551569506726,1.69809524,0
0.411924119241192,1.81959115738,2
0.491958372753075,1.507380952,1
