time,id,site,x,y,territory,EX,auc_diff,class2_auc_diff,Abibal,Acespi,Aranud,Betpap,Corcan,Drycar,Linbor,Maican,Oxamon,Poptre,Prupen,Rubida,Sorame,Clibor,Epiang,Fraame,Lysbor,Ortsec,Osmcla,Picea,Ribgla,Sampub,Sympun,Betall,Coptri,Rubpub,Thuocc,Mitnud,Grass,Amecan,Carex,Lacbie,Lycopod,Gymdis,Acerub,Rumaca,Pilcae,Taroff,Polyvir,Pteaqu,Epigla,Solmac,Gauhis,Anamar,Geumac,Nabtri,Salix,Riblac,Solcan,Vibedu,Galtri,Athfil,Ciralp,Corsto,Corcor,Monuni,Strlan,Phecon,Loncan,Alnrug,Equarv,Impcap
T3,CH1002_EX,CH1002,430448.895,5414787.572,Chic-Chocs,EX,0,Exclosure,0.516666667,0,0,0.018809524,0.140952381,0,0.000476191,0,0.008571429,0,0,0.163333333,0,0,0,0,0,0,0,0.034047619,0.006666667,0,0,0,0,0,0.007142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,CH1002_EX,CH1002,430448.895,5414787.572,Chic-Chocs,EX,0,Exclosure,0.608095238,0,0,0.040238095,0.257619048,0,0.012380952,0,0.013095238,0,0,0.251428571,0,0,0,0,0,0,0,0.049285714,0,0,0,0,0,0,0.002380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T5,CH1002_EX,CH1002,430448.895,5414787.572,Chic-Chocs,EX,0,Exclosure,0.59387381,0,0,0.008509524,0.17967381,0,0.004287302,0,0.004009524,0,0,0.138511905,0,0,0.003958466,0,0,0,0,0.02027619,0.004331085,0,0,0,0,0,0.004726323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,CH1002_EX,CH1002,430448.895,5414787.572,Chic-Chocs,EX,0,Exclosure,0.723333333,0,0,0.005,0.156666667,0,0.003809524,0,0.003333333,0,0,0.096428571,0,0,0.008571429,0,0,0,0,0.025952381,0.00952381,0,0,0,0,0,0.010238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,CH1002_TE,CH1002,430465.7714,5414815.509,Chic-Chocs,TE,35997.07144,Higher,0.111666667,0,0,0,0,0,0,0,0,0,0,0.023888889,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0.009722222,0,0,0,0.008333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,CH1002_TE,CH1002,430465.7714,5414815.509,Chic-Chocs,TE,35997.07144,Higher,0.097857143,0,0,0,0.003571429,0,0,0,0,0,0,0.237857143,0,0,0,0,0,0,0,0.007380952,0.004761905,0,0,0,0,0,0.000952381,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,CH1002_TE,CH1002,430465.7714,5414815.509,Chic-Chocs,TE,35997.07144,Higher,0.159047619,0,0,0.002857143,0.025,0,0,0,0,0,0,0.660476191,0,0,0.003571429,0,0,0,0,0.023333333,0.004047619,0.007142857,0,0,0,0.005714286,0.004047619,0,0,0,0.022142857,0,0,0,0,0,0.001666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T5,CH1002_TE,CH1002,430465.7714,5414815.509,Chic-Chocs,TE,35997.07144,Higher,0.161042857,0,0,0.003162632,0.014889286,0,0,0,0,0,0,0.536719048,0,0,0.001772293,0,0.00013869,0.00013869,0,0.023190476,0.000590476,0.005,0,0,0,0.000980714,0.000616667,0,0,0,0.014380952,0,0,0,0,0.012196429,0.000218214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,CH1002_TE,CH1002,430465.7714,5414815.509,Chic-Chocs,TE,35997.07144,Higher,0.223333333,0,0,0.005238095,0.023095238,0,0,0,0,0,0,0.645238095,0,0,0.002857143,0,0.000714286,0.000714286,0,0.039285714,0,0.007142857,0,0,0,0,0,0,0,0,0.023571429,0,0,0,0,0.031904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,CH1003_EX,CH1003,425225.2375,5409905.462,Chic-Chocs,EX,0,Exclosure,0.013888889,0,0,0,0,0,0,0,0,0,0,0.010277778,0,0,0,0,0,0,0,0,0.005555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,CH1003_EX,CH1003,425225.2375,5409905.462,Chic-Chocs,EX,0,Exclosure,0.031428571,0,0,0,0,0,0,0,0,0,0,0.011190476,0,0,0.009761905,0,0,0,0,0.002857143,0.017619048,0.001190476,0,0,0,0,0.003571429,0,0,0,0,0.004761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,CH1003_EX,CH1003,425225.2375,5409905.462,Chic-Chocs,EX,0,Exclosure,0.003333333,0,0,0,0,0,0,0,0,0,0,0.032380952,0,0,0.015952381,0,0,0,0,0,0.008333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T5,CH1003_EX,CH1003,425225.2375,5409905.462,Chic-Chocs,EX,0,Exclosure,0.003141799,0,0,0,0,0,0,0,0,0,0,0.087461905,0,0,0.020107143,0,0,0,0,0.01025,0.009657143,0,0,0,0,0,4.52381E-05,0,0,0,0.000360289,0,0,0,0,0,0,0,0,0,0,0,0.002787037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,CH1003_EX,CH1003,425225.2375,5409905.462,Chic-Chocs,EX,0,Exclosure,0.005714286,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.036428571,0,0,0,0,0.026428571,0.019047619,0,0,0,0,0,0.000476191,0,0,0,0.001190476,0,0,0,0,0,0,0,0,0,0,0,0.005238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,CH1003_TE,CH1003,425210.9359,5409930.215,Chic-Chocs,TE,-4378.372554,Lower,0.284444444,0,0,0.013611111,0.021111111,0,0,0.013888889,0.005,0,0,0.026666667,0,0,0,0,0.000277778,0,0,0.012777778,0,0,0,0,0,0,0.003055556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0.000833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
